year,quarter,credit_spread,kosdaq_return,gdp_growth_yoy,usdkrw_chg,vix_avg,cpi_yoy
2020,H1,1.2658,29.68,-2.6,-1.7913,34.4937,0.009
2020,Q3,1.3635,14.9301,-0.8,-2.2653,25.8089,0.7248
2020,ANNUAL,1.282,14.1803,-0.5,-7.2859,25.6217,0.4541
2021,Q1,1.0584,-1.2649,2.6,4.182,23.2025,1.4291
2021,H1,0.7368,7.7172,7.0,-0.3088,18.0,2.4912
2021,Q3,0.4452,-2.5914,4.6,4.8584,18.2891,2.5352
2021,ANNUAL,0.5409,3.061,4.2,0.0506,19.2744,3.5429
2022,Q1,0.6076,-8.651,3.4,2.1341,25.3729,3.9117
2022,H1,0.7332,-21.0782,3.0,6.7806,27.3537,5.371
2022,Q3,0.9551,-9.7647,3.4,10.9753,24.7313,5.8406
2022,ANNUAL,1.5024,0.9871,1.3,-11.6741,25.0754,5.2145
2023,Q1,0.9173,24.7656,1.3,2.8801,20.6945,4.5989
2023,H1,0.8087,2.4448,1.2,0.6903,16.4611,3.2648
2023,Q3,0.7777,-3.1351,1.5,2.4375,15.053,3.1362
2023,ANNUAL,0.7786,3.038,2.2,-4.1196,15.3257,3.417
2024,Q1,0.6964,4.4924,3.4,4.4517,13.7038,3.0097
2024,H1,0.4769,-7.185,2.2,3.1482,14.0298,2.6662
2024,Q3,0.5057,-9.1095,1.4,-5.0101,17.1655,2.051
2024,ANNUAL,0.5972,-11.2177,1.1,11.3974,17.4173,1.5768
2025,Q1,0.606,-0.7874,0.0,-0.2381,18.6263,2.1121
2025,H1,0.5677,16.1477,0.6,-7.5077,23.6321,2.053
2025,Q3,0.4801,7.7402,1.8,3.3766,15.9575,1.9574
2025,ANNUAL,0.4486,9.9146,1.6,2.332,17.7981,2.3807
